country,all7pts
Norway,95.02516669300405
Switzerland,93.0352822657886
Netherlands,92.34208217993599
United States,90.237998543041
Czechia,90.17832960110758
Germany,90.10728922990668
Sweden,89.72656167991697
Austria,89.70417912866021
Ireland,89.07988215287727
Singapore,88.27932717366689
Malta,88.26485080088406
Luxembourg,87.52463363434623
France,87.36528265119067
Slovenia,87.2822902908516
Australia,86.60916838847879
Japan,86.48007813980136
United Kingdom,85.91683106779219
New Zealand,85.33416161675062
Slovakia,84.9699087199724
Portugal,84.82956431160503
South Korea,84.81972164399906
Canada,84.32551722595775
Brunei,84.23097094040075
Spain,83.6315191051934
Qatar,83.08859944638465
Belarus,82.71970173403491
Cyprus,82.65411064742716
Italy,81.70227825547859
Maldives,81.45125560551136
Poland,81.12606082225253
Croatia,81.07590982307718
Kuwait,80.74950997704093
Greece,80.29407448911509
Estonia,79.66533648475934
Latvia,79.56378077997363
Lithuania,79.48983017489775
Armenia,79.2415948975078
United Arab Emirates,78.7571947385274
Israel,78.59418714297429
Bulgaria,78.47526064958245
Moldova,77.316110366308
Sierra Leone,76.96088557688896
Malaysia,76.93316884487305
Serbia,76.41207300109755
Azerbaijan,76.15021206853316
Bahrain,75.77559134030246
Argentina,75.07435853585713
Saudi Arabia,74.7349464659715
Romania,74.59814039449
Uruguay,74.53767073767338
Albania,74.3972136649025
China,74.14433481684097
Kazakhstan,73.78885175339562
Tajikistan,73.74127358372726
Mauritius,73.71527526569963
Russia,73.65165657493367
Bosnia and Herzegovina,72.78330471659798
Uzbekistan,72.68422418566142
East Timor,72.5243710400105
Turkmenistan,72.28532476392422
Burundi,72.05095504082541
Georgia,71.57135444247677
Cambodia,71.27316190528596
Bhutan,71.24657611561058
Fiji,71.02830082251674
Vietnam,70.99128781774802
Chile,70.24560519716803
Malawi,70.19415583814515
Iran,69.91641249754328
Morocco,69.72011377102586
Sri Lanka,69.55643244857754
Bangladesh,68.93594726422566
Turkey,68.90144390015578
Ghana,68.85265796975385
Nicaragua,68.822407465505
Barbados,68.68097090863262
Egypt,68.63867955518963
Panama,68.35041164993731
Costa Rica,68.22114737491643
Thailand,67.77626385176183
Montenegro,67.75822824967179
Algeria,67.39859942238758
Kenya,66.87582923152634
Nepal,66.72387430857296
Tanzania,66.58790115822443
Myanmar,66.52293846071632
Ecuador,66.45767624294103
Tunisia,66.21206159169634
Jordan,66.13535444245747
Rwanda,65.79169469377013
Bolivia,65.7474173706246
Paraguay,65.01775580193996
Uganda,64.9794621822496
Zimbabwe,64.8391155027048
Trinidad and Tobago,64.20941182784429
Dominican Republic,64.18944566278489
Mauritania,64.15654264200136
Vanuatu,63.93031258609179
Peru,63.74925375693792
Lebanon,62.472649463268965
Zambia,62.34295621590289
Saint Lucia,62.26269082521277
Philippines,62.22094369950497
Mozambique,62.02987905201967
Guyana,61.92195502742456
Bahamas,61.89919727287803
Suriname,61.39306359890914
Brazil,61.358917433653104
Mexico,60.87937802526122
Cameroon,60.338446140552385
Guatemala,59.90653427127434
El Salvador,59.21833215073192
India,57.67676529738006
Colombia,57.42201186937007
Jamaica,57.18694344392002
Botswana,56.77671602506612
Belize,56.169359179419274
Pakistan,55.899425397390374
Namibia,55.70229936852554
Honduras,53.172155737638114
Haiti,52.33327277312718
Papua New Guinea,51.66966675131639
Syria,49.187196603031815
Eswatini,49.138339844521134
Angola,46.35219374809551
Iraq,43.29227511395115
