country,year,pm25,norm_pol2,pol_log32_n
Bahamas,2017,5.498568,1.0,32.0
Finland,2017,5.52591,0.9995424715179233,31.985359088573546
Iceland,2017,5.909562,0.9931226149892971,31.779923679657507
Sweden,2017,6.046158,0.9908368802026044,31.70678016648334
Estonia,2017,6.378954,0.9852680246426159,31.528576788563708
Norway,2017,6.42853,0.9844384426066479,31.502030163412734
Niue,2017,6.679448,0.9802396959287997,31.36767026972159
Canada,2017,6.768582,0.9787481684720875,31.3199413911068
Tuvalu,2017,6.847392,0.9774293980941902,31.277740739014085
Marshall Islands,2017,7.175156,0.97194474571326,31.10223186282432
Australia,2017,7.241084,0.9708415368124351,31.066929177997924
Brunei,2017,7.262284,0.9704867857400912,31.055577143682918
Tonga,2017,7.405122,0.9680966001895508,30.979091206065625
New Zealand,2017,7.407988,0.9680486418606198,30.977556539539833
Fiji,2017,7.408918,0.968033079667352,30.977058549355263
Nauru,2017,7.411014,0.9679980061651051,30.975936197283364
Kiribati,2017,7.572466,0.9652963424796304,30.88948295934817
Cook Islands,2017,7.647668,0.9640379467181961,30.849214294982275
Micronesia (country),2017,7.684514,0.963421382661046,30.829484245153473
Samoa,2017,7.719832,0.9628303874547705,30.810572398552655
Palau,2017,7.740366,0.9624867809208314,30.799576989466605
United States,2017,7.824882,0.9610725289571419,30.75432092662854
Solomon Islands,2017,7.83814,0.9608506756685978,30.74722162139513
Dominican Republic,2017,7.960802,0.9587981060442655,30.681539393416497
Portugal,2017,8.274288,0.9535523751638506,30.51367600524322
Ireland,2017,8.37472,0.9518717921592449,30.459897349095836
Saint Kitts and Nevis,2017,8.572086,0.9485691600769702,30.354213122463047
Vanuatu,2017,8.626554,0.9476577175577049,30.325046961846557
Dominica,2017,8.778684,0.9451120439428146,30.243585406170066
Antigua and Barbuda,2017,8.855472,0.9438271087851191,30.20246748112381
Papua New Guinea,2017,8.866674,0.9436396596571759,30.19646910902963
Russia,2017,8.938796,0.9424328032024785,30.15784970247931
Andorra,2017,9.209896,0.9378963401971753,30.01268288630961
Uruguay,2017,9.243172,0.9373395148819246,29.994864476221586
Saint Lucia,2017,9.537672,0.9324114870137513,29.837167584440042
Luxembourg,2017,9.726578,0.9292504206895912,29.736013462066918
Monaco,2017,9.732132,0.9291574826020536,29.733039443265714
Switzerland,2017,9.935088,0.9257613100247599,29.624361920792317
Saint Vincent and the Grenadines,2017,10.000112,0.9246732282451331,29.58954330384426
Denmark,2017,10.029042,0.9241891268997129,29.574052060790812
Spain,2017,10.15503,0.9220809015175213,29.506588848560682
United Kingdom,2017,10.188522,0.9215204617573826,29.488654776236242
Haiti,2017,10.208018,0.9211942246391555,29.478215188452975
Barbados,2017,10.384326,0.9182439674663816,29.38380695892421
Mauritius,2017,10.552956,0.9154221904225444,29.29351009352142
San Marino,2017,10.590852,0.9147880561471885,29.273217796710032
Lithuania,2017,10.627948,0.9141673087047513,29.25335387855204
Grenada,2017,10.628222,0.9141627237144767,29.253207158863255
Trinidad and Tobago,2017,10.829534,0.9107940610788308,29.145409954522584
Belize,2017,10.994232,0.9080380803187886,29.057218570201236
France,2017,11.28572,0.9031604538765541,28.90113452404973
Netherlands,2017,11.607704,0.897772521363461,28.72872068363075
Guyana,2017,11.628016,0.8974326296756567,28.717844149621016
Germany,2017,11.701302,0.8962062953790627,28.678601452130007
Japan,2017,11.777876,0.8949249411991731,28.63759811837354
Namibia,2017,11.890274,0.8930441246411869,28.57741198851798
Brazil,2017,12.199932,0.8878624497562877,28.411598392201206
Belgium,2017,12.278078,0.8865547904497129,28.36975329439081
Latvia,2017,12.373456,0.8849587787620707,28.318680920386264
Austria,2017,12.481904,0.8831440596916202,28.260609910131848
Kenya,2017,12.528406,0.8823659165611422,28.23570932995655
Moldova,2017,12.751932,0.878625535042428,28.116017121357697
Maldives,2017,12.775734,0.8782272432960163,28.103271785472522
Suriname,2017,12.817692,0.877525137376516,28.080804396048514
Botswana,2017,12.89058,0.876305463029299,28.04177481693757
Zimbabwe,2017,13.140362,0.8721257256541952,27.908023220934247
Argentina,2017,13.198498,0.8711529045059979,27.876892944191933
Panama,2017,13.288772,0.8696423008123766,27.82855362599605
Malta,2017,13.289534,0.8696295498540216,27.828145595328692
Paraguay,2017,13.4093,0.8676254405648547,27.76401409807535
Morocco,2017,13.594458,0.8645270915529184,27.66486692969339
Ukraine,2017,13.736648,0.8621477493370422,27.58872797878535
Cuba,2017,14.198246,0.8544235802100709,27.34155456672227
Comoros,2017,14.354852,0.8518030072650008,27.257696232480026
Somalia,2017,14.369298,0.8515612745295724,27.249960784946317
Singapore,2017,14.466568,0.8499336029820777,27.197875295426485
Cyprus,2017,14.660054,0.8466958970394584,27.094268705262667
Eswatini,2017,14.840616,0.8436744553826396,26.99758257224447
Romania,2017,14.896364,0.8427415939307045,26.967731005782543
Greece,2017,15.424528,0.8339035399036556,26.68491327691698
Tanzania,2017,15.43374,0.8337493905225974,26.679980496723118
Belarus,2017,15.441196,0.8336246252397959,26.675988007673467
Jamaica,2017,15.718328,0.8289872255142862,26.527591216457157
Colombia,2017,15.77876,0.8279759841556122,26.495231492979592
Italy,2017,15.80656,0.8275107917116897,26.48034533477407
Madagascar,2017,16.193868,0.8210297573566252,26.272952235412006
Hungary,2017,16.291438,0.819397065746786,26.22070610389715
Mozambique,2017,16.499078,0.8159225132627537,26.109520424408117
Czechia,2017,16.594786,0.8143209795065325,26.05827134420904
Slovenia,2017,16.6441,0.8134957816583455,26.031865013067055
Costa Rica,2017,16.70266,0.8125158654887011,26.000507695638436
Ecuador,2017,16.73258,0.8120151979375442,25.984486334001414
Seychelles,2017,16.894536,0.8093051005473307,25.897763217514584
Zambia,2017,17.124224,0.8054616069480607,25.774771422337942
Lesotho,2017,17.644478,0.7967559152314949,25.496189287407837
Cambodia,2017,17.677496,0.7962034071698605,25.478509029435536
Croatia,2017,17.772498,0.7946136872936901,25.427637993398083
Slovakia,2017,18.098388,0.7891603935688718,25.253132594203898
Venezuela,2017,18.351288,0.7849284810124676,25.117711392398963
Nicaragua,2017,18.370062,0.7846143255109495,25.107658416350382
Albania,2017,18.435358,0.7835216922081303,25.07269415066017
Malawi,2017,18.608276,0.7806281617398492,24.980101175675173
Indonesia,2017,19.267956,0.7695893793151409,24.62686013808451
South Africa,2017,19.372512,0.7678397871868397,24.57087318997887
Bulgaria,2017,19.606286,0.7639279203384378,24.44569345083001
Mexico,2017,20.004454,0.757265159726503,24.232485111248096
East Timor,2017,20.051292,0.7564813941261991,24.20740461203837
Israel,2017,20.157812,0.7546989373230826,24.150365994338642
Djibouti,2017,20.425962,0.7502118382641668,24.006778824453338
Vietnam,2017,20.784824,0.7442068062206069,23.81461779905942
Laos,2017,20.832206,0.7434139375739184,23.789246002365388
Georgia,2017,21.117186,0.7386452130174768,23.636646816559256
Honduras,2017,21.145548,0.7381706163234287,23.62145972234972
Malaysia,2017,21.344178,0.7348468330451428,23.515098657444568
Poland,2017,21.446436,0.7331356945944002,23.460342227020806
South Sudan,2017,21.639148,0.7299109404126297,23.35715009320415
Montenegro,2017,21.857828,0.7262516496343202,23.240052788298247
Ethiopia,2017,22.111556,0.7220058817058452,23.104188214587047
Sudan,2017,22.201662,0.7204980892471369,23.05593885590838
Philippines,2017,22.30978,0.7186888922452653,22.99804455184849
Chile,2017,22.509624,0.7153447944480252,22.891033422336807
Eritrea,2017,22.783658,0.710759235232993,22.744295527455776
Algeria,2017,22.858182,0.7095121848124573,22.704389913998632
Turkey,2017,22.982844,0.7074261481058284,22.637636739386508
Guatemala,2017,23.338614,0.7014728561714989,22.447131397487965
Sri Lanka,2017,23.706522,0.6953164525147115,22.25012648047077
Lebanon,2017,24.090224,0.6888957593090279,22.044664297888893
Serbia,2017,24.427786,0.6832471516919266,21.863908854141652
Thailand,2017,24.477594,0.6824136874744122,21.83723799918119
El Salvador,2017,24.814746,0.6767719406091819,21.65670209949382
Syria,2017,24.856114,0.6760797074789591,21.63455063932669
Bolivia,2017,25.38945,0.6671551075770913,21.34896344246692
Jordan,2017,25.44272,0.6662637118401216,21.32043877888389
South Korea,2017,25.682276,0.6622550916568002,21.192162933017606
Angola,2017,25.914212,0.658373981057029,21.06796739382493
Gabon,2017,26.248054,0.6527876222129994,20.88920391081598
Equatorial Guinea,2017,26.582086,0.6471980839961516,20.710338687876853
Tunisia,2017,26.717788,0.6449273089952455,20.637673887847857
Myanmar,2017,26.98268,0.640494727813391,20.495831290028512
Azerbaijan,2017,27.517796,0.6315403422082793,20.209290950664936
Bhutan,2017,27.597394,0.6302083857999571,20.166668345598627
Burundi,2017,28.069692,0.622305167782699,19.913765369046367
Central African Republic,2017,28.319962,0.6181172644395149,19.779752462064476
North Macedonia,2017,28.443462,0.6160506721077003,19.71362150744641
Peru,2017,29.082422,0.6053586086555848,19.371475476978713
Kazakhstan,2017,29.099528,0.605072364700702,19.362315670422465
Congo,2017,29.308614,0.6015736155161693,19.250355696517417
Turkmenistan,2017,29.54879,0.5975546205373361,19.121747857194755
Libya,2017,29.561068,0.5973491661191173,19.115173315811752
Bosnia and Herzegovina,2017,30.012342,0.5897977540709609,18.87352813027075
Palestine,2017,30.386114,0.5835432249288799,18.673383197724156
Iran,2017,30.704552,0.5782146295526986,18.502868145686357
Uganda,2017,31.611022,0.5630461765080024,18.017477648256076
Democratic Republic of Congo,2017,31.912296,0.5580047956320906,17.8561534602269
Cape Verde,2017,32.014792,0.5562896745985548,17.801269587153755
Benin,2017,32.469812,0.548675578705257,17.557618518568223
Sao Tome and Principe,2017,33.931024,0.5242243275768724,16.775178482459918
Rwanda,2017,34.990162,0.5065011982721481,16.20803834470874
Guinea-Bissau,2017,35.679162,0.4949717884209719,15.8390972294711
Oman,2017,35.786564,0.49317457263456255,15.781586324306002
Liberia,2017,36.170508,0.48674982991192095,15.57599455718147
Togo,2017,37.102518,0.4711540022262971,15.076928071241507
Armenia,2017,37.919374,0.45748510873806447,14.639523479618063
Nepal,2017,38.300384,0.4511094622251519,14.435502791204861
Guinea,2017,38.52676,0.44732139011416516,14.314284483653285
Iraq,2017,39.137866,0.43709542271719437,13.98705352695022
Senegal,2017,39.150736,0.43688006204261576,13.980161985363704
Gambia,2017,39.652928,0.4284766115462705,13.711251569480655
Mali,2017,39.912562,0.42413201532377376,13.57222449036076
Sierra Leone,2017,40.456978,0.41502200778598275,13.280704249151448
Yemen,2017,41.104182,0.4041919930206407,12.934143776660502
Kyrgyzstan,2017,41.763552,0.39315839799368857,12.581068735798034
Cote d'Ivoire,2017,42.161868,0.3864931608176637,12.367781146165239
Burkina Faso,2017,42.387888,0.38271104584732585,12.246753467114427
Mauritania,2017,42.818526,0.3755049471543057,12.016158308937783
United Arab Emirates,2017,42.997288,0.3725136258715539,11.920436027889725
Chad,2017,43.42019,0.3654369778528571,11.693983291291428
China,2017,44.994072,0.3391003586432939,10.851211476585405
Mongolia,2017,45.226162,0.33521667107818587,10.726933474501948
Uzbekistan,2017,45.526694,0.330187706489806,10.566006607673792
Bangladesh,2017,48.248418,0.28464362594150006,9.108596030128002
Ghana,2017,48.42508,0.28168744509515975,9.013998243045112
North Korea,2017,48.55891,0.27944799528328323,8.942335849065064
Niger,2017,51.736746,0.22627154581474562,7.24068946607186
India,2017,53.086028,0.20369327994708986,6.518184958306875
Pakistan,2017,53.631344,0.1945682122222654,6.2261827911124925
Bahrain,2017,54.061184,0.18737546689508178,5.996014940642617
Nigeria,2017,56.813564,0.14131840290933362,4.522188893098676
Saudi Arabia,2017,57.632198,0.127619757184939,4.083832229918048
Cameroon,2017,58.351032,0.11559111886714457,3.6989158037486263
Tajikistan,2017,59.523014,0.09597970984508175,3.071350715042616
Egypt,2017,62.186678,0.05140717869584599,1.6450297182670717
Qatar,2017,62.403326,0.047781890473149846,1.529020495140795
Afghanistan,2017,65.144432,0.0019134804303077013,0.06123137376984644
Kuwait,2017,65.258782,0.0,0.0
