country,year,hdi
Switzerland,2020,0.88554484
Japan,2020,0.85673577
Australia,2020,0.84790266
Iceland,2020,0.84497184
Norway,2020,0.8412479
Germany,2020,0.8373071
Canada,2020,0.8275504
South Korea,2020,0.8157913
New Zealand,2020,0.81164175
Sweden,2020,0.80335486
Denmark,2020,0.800761
Finland,2020,0.7897714
United Kingdom,2020,0.7804795
Israel,2020,0.7732169
Netherlands,2020,0.76978844
Estonia,2020,0.7694939
OECD (AHDI),2020,0.7600403
Western offshoots (AHDI),2020,0.75892735
Ireland,2020,0.7554129
United States,2020,0.74961233
Western Europe (AHDI),2020,0.74823874
Austria,2020,0.73825544
Malta,2020,0.73626685
Belgium,2020,0.7353814
France,2020,0.73278296
Taiwan,2020,0.72403085
Cyprus,2020,0.7145927
Slovenia,2020,0.7124524
Lithuania,2020,0.70353216
Italy,2020,0.6947239
Slovakia,2020,0.69259644
Spain,2020,0.69203
Czechia,2020,0.6909299
Latvia,2020,0.6903951
Greece,2020,0.662595
Chile,2020,0.647991
Portugal,2020,0.6365617
Croatia,2020,0.63203984
Poland,2020,0.61903965
Singapore,2020,0.6186281
Hong Kong,2020,0.6183592
Bahamas,2020,0.6174499
Trinidad and Tobago,2020,0.6010268
Costa Rica,2020,0.587915
Uruguay,2020,0.58269095
Argentina,2020,0.5808542
Georgia,2020,0.5664046
Barbados,2020,0.56136173
Armenia,2020,0.5582929
Romania,2020,0.5531515
Panama,2020,0.5520355
Eastern Europe (AHDI),2020,0.54648125
Saint Vincent and the Grenadines,2020,0.54243994
Bulgaria,2020,0.54091567
Hungary,2020,0.5321418
Peru,2020,0.52734023
Mauritius,2020,0.521109
Albania,2020,0.5164856
Seychelles,2020,0.50521654
Moldova,2020,0.50474745
Sri Lanka,2020,0.49916843
Saint Kitts and Nevis,2020,0.49808738
Belize,2020,0.49294052
Jamaica,2020,0.48793438
Suriname,2020,0.4828982
South Africa,2020,0.48208484
Malaysia,2020,0.47657886
Saint Lucia,2020,0.4758084
Colombia,2020,0.47362316
Tunisia,2020,0.47189918
Latin America (AHDI),2020,0.4569037
Serbia,2020,0.45584276
Brazil,2020,0.4536289
Mongolia,2020,0.45135608
Botswana,2020,0.44836295
Ecuador,2020,0.4458849
Ukraine,2020,0.44371986
Paraguay,2020,0.43498343
Mexico,2020,0.43466747
East Asia (AHDI),2020,0.4321755
Dominican Republic,2020,0.43077835
Indonesia,2020,0.42196304
Jordan,2020,0.42019212
Kyrgyzstan,2020,0.41837358
Brunei,2020,0.41815317
Guyana,2020,0.4077273
Ghana,2020,0.40519884
World,2020,0.40393284
Kuwait,2020,0.40147272
Lebanon,2020,0.40147188
Thailand,2020,0.3980487
United Arab Emirates,2020,0.3973578
Oman,2020,0.38920376
Philippines,2020,0.3870563
Kazakhstan,2020,0.38610065
Namibia,2020,0.3788032
Russia,2020,0.3766185
Cuba,2020,0.37594122
Iran,2020,0.37193736
El Salvador,2020,0.37150574
Sao Tome and Principe,2020,0.3675937
Qatar,2020,0.36152875
Guatemala,2020,0.3586319
Non-1995 OECD (AHDI),2020,0.3578147
Belarus,2020,0.3555969
India,2020,0.35353443
Bolivia,2020,0.34873158
Uzbekistan,2020,0.34518108
Gabon,2020,0.34294528
Middle East (AHDI),2020,0.3429447
North Africa (AHDI),2020,0.3403318
South Asia (AHDI),2020,0.33618388
Turkey,2020,0.33346605
Morocco,2020,0.32993832
Nepal,2020,0.32662618
Myanmar,2020,0.32442257
Honduras,2020,0.3244064
Algeria,2020,0.32287198
Egypt,2020,0.3205337
Vietnam,2020,0.31491375
Iraq,2020,0.31463614
Lesotho,2020,0.3077871
Kenya,2020,0.3073115
Saudi Arabia,2020,0.30703938
Bahrain,2020,0.3008721
Venezuela,2020,0.29799208
Liberia,2020,0.29302675
Nigeria,2020,0.2915622
Tanzania,2020,0.29078418
Senegal,2020,0.28918418
Azerbaijan,2020,0.2845643
Zambia,2020,0.28274053
Libya,2020,0.2771623
Sub Saharan Africa (AHDI),2020,0.27484772
Malawi,2020,0.27261257
Gambia,2020,0.26892647
Zimbabwe,2020,0.268762
Bangladesh,2020,0.26811337
Cote d'Ivoire,2020,0.26405367
Pakistan,2020,0.2638195
Sierra Leone,2020,0.26284596
Uganda,2020,0.25961944
China,2020,0.2572684
Tajikistan,2020,0.25605816
Benin,2020,0.24761356
Angola,2020,0.24331707
Haiti,2020,0.24188195
Madagascar,2020,0.23945251
Mauritania,2020,0.23656395
Mozambique,2020,0.23250847
Burkina Faso,2020,0.23107064
Guinea-Bissau,2020,0.22906104
Congo,2020,0.22761965
Nicaragua,2020,0.22726451
Laos,2020,0.22705473
Eswatini,2020,0.22663058
Rwanda,2020,0.22427148
Togo,2020,0.22412066
Cameroon,2020,0.22072946
Cambodia,2020,0.21474655
Ethiopia,2020,0.20608407
Equatorial Guinea,2020,0.20572552
Niger,2020,0.20149691
Democratic Republic of Congo,2020,0.19724916
Mali,2020,0.19701828
Syria,2020,0.18850534
Sudan,2020,0.18341896
Central African Republic,2020,0.18321593
Afghanistan,2020,0.18043555
Guinea,2020,0.15343444
Chad,2020,0.14265636
Yemen,2020,0.14160517
Burundi,2020,0.1257193
Eritrea,2020,0.11780541
